name
River Warbler
Common Grasshopper-warbler
Northern House Martin
Red-rumped Swallow
Barn Swallow
Eurasian Crag Martin
Collared Sand Martin
Western Bonelli's Warbler
Wood Warbler
Yellow-browed Warbler
Hume's Leaf-warbler
Pallas's Leaf-warbler
Dusky Warbler
Willow Warbler
Iberian Chiffchaff
Common Chiffchaff
Siberian Chiffchaff
Radde's Warbler
Greenish Warbler
Cetti's Warbler
Long-tailed Tit
Eurasian Blackcap
Garden Warbler
Barred Warbler
Western Orphean Warbler
Lesser Whitethroat
Sardinian Warbler
Subalpine Warbler
Common Whitethroat
Spectacled Warbler
Dartford Warbler
Vinous-throated Parrotbill
Short-toed Treecreeper
Eurasian Treecreeper
Eurasian Nuthatch
Wallcreeper
Northern Wren
White-throated Dipper
Common Starling
Spotless Starling
Rosy Starling
Siberian Thrush
Mistle Thrush
Song Thrush
Redwing
Eurasian Blackbird
Fieldfare
Ring Ouzel
Rufous-tailed Scrub-robin
Spotted Flycatcher
European Robin
White-throated Robin
Bluethroat
Thrush Nightingale
Common Nightingale
Red-breasted Flycatcher
Semi-collared Flycatcher
European Pied Flycatcher
Collared Flycatcher
Black Redstart
Common Redstart
Rufous-tailed Rock-thrush
Blue Rock-thrush
Whinchat
Common Stonechat
Northern Wheatear
Isabelline Wheatear
Desert Wheatear
Black-eared Wheatear
Goldcrest
Common Firecrest
Bohemian Waxwing
Alpine Accentor
Dunnock
House Sparrow
Italian Sparrow
Spanish Sparrow
Eurasian Tree Sparrow
Rock Sparrow
White-winged Snowfinch
Tree Pipit
Olive-backed Pipit
Red-throated Pipit
Meadow Pipit
Water Pipit
Richard's Pipit
Tawny Pipit
Western Yellow Wagtail
Grey Wagtail
Citrine Wagtail
White Wagtail
Common Chaffinch
Brambling
Hawfinch
Common Rosefinch
Pine Grosbeak
Eurasian Bullfinch
Trumpeter Finch
European Greenfinch
Twite
Common Linnet
Redpoll
Red Crossbill
European Goldfinch
Citril Finch
European Serin
Eurasian Siskin
Lapland Longspur
Snow Bunting
Black-headed Bunting
Corn Bunting
Rock Bunting
Ortolan Bunting
Cirl Bunting
Yellowhammer
Pine Bunting
Reed Bunting
Rustic Bunting
Little Bunting
Song Sparrow
